Feature 1,Feature 2,Correlation
weight_gain,enlarged_thyroid,0.967490279794925
weight_gain,brittle_nails,0.967490279794925
weight_gain,swollen_extremeties,0.967490279794925
anxiety,slurred_speech,0.972976878040567
anxiety,palpitations,0.972976878040567
cold_hands_and_feets,enlarged_thyroid,0.9674902797949272
cold_hands_and_feets,brittle_nails,0.9674902797949272
cold_hands_and_feets,swollen_extremeties,0.9674902797949272
mood_swings,abnormal_menstruation,0.9751099058758309
irregular_sugar_level,increased_appetite,0.9784355411679407
irregular_sugar_level,polyuria,0.9784355411679407
yellow_urine,receiving_blood_transfusion,0.972976878040565
yellow_urine,receiving_unsterile_injections,0.972976878040565
acute_liver_failure,coma,0.9729768780405637
acute_liver_failure,stomach_bleeding,0.9729768780405637
swelling_of_stomach,distention_of_abdomen,0.9555404654072311
swelling_of_stomach,history_of_alcohol_consumption,0.9555404654072307
throat_irritation,redness_of_eyes,1.0
throat_irritation,sinus_pressure,1.0
throat_irritation,runny_nose,1.0
throat_irritation,congestion,1.0
throat_irritation,loss_of_smell,1.0
redness_of_eyes,sinus_pressure,1.0
redness_of_eyes,runny_nose,1.0
redness_of_eyes,congestion,1.0
redness_of_eyes,loss_of_smell,1.0
sinus_pressure,runny_nose,1.0
sinus_pressure,congestion,1.0
sinus_pressure,loss_of_smell,1.0
runny_nose,congestion,1.0
runny_nose,loss_of_smell,1.0
congestion,loss_of_smell,1.0
pain_during_bowel_movements,pain_in_anal_region,0.9557184544938788
pain_during_bowel_movements,bloody_stool,0.9613843495745824
pain_during_bowel_movements,irritation_in_anus,0.9670200312797633
bruising,swollen_legs,0.9555404654072268
bruising,prominent_veins_on_calf,0.9555404654072299
puffy_face_and_eyes,enlarged_thyroid,0.9784355411679435
puffy_face_and_eyes,brittle_nails,0.9784355411679435
puffy_face_and_eyes,swollen_extremeties,0.9784355411679435
enlarged_thyroid,brittle_nails,1.0
enlarged_thyroid,swollen_extremeties,1.0
brittle_nails,swollen_extremeties,1.0
drying_and_tingling_lips,slurred_speech,0.9729768780405651
drying_and_tingling_lips,palpitations,0.9729768780405651
slurred_speech,palpitations,1.0
passage_of_gases,internal_itching,0.9612662885880143
toxic_look_(typhos),belly_pain,0.9726260251553429
increased_appetite,polyuria,1.0
receiving_blood_transfusion,receiving_unsterile_injections,1.0
coma,stomach_bleeding,1.0
distention_of_abdomen,history_of_alcohol_consumption,0.9669612953589686
distention_of_abdomen,fluid_overload.1,0.9555404654072278
history_of_alcohol_consumption,fluid_overload.1,0.9555404654072277
